id,zipcode,city_neighborhood,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
1,90001,Los Angeles,35097,36386,35658,35097,34050,33887,34323,35660,38521,43360,48011
2,90002,Los Angeles,31258,31810,32299,31258,30214,30413,32520,34000,35410,37285,42245
3,90003,Los Angeles,29686,28334,29174,29686,30016,30805,31878,34397,37226,40598,42220
4,90004,Los Angeles,37976,37839,38430,37976,38493,40612,43180,46581,48754,49675,52775
5,90005,Los Angeles,31893,32955,32086,31893,31214,31142,31485,32461,35149,38491,42398
6,90006,Los Angeles,30961,29594,30260,30961,31403,31521,31993,33790,35411,37072,37375
7,90007,Los Angeles,22420,22049,22047,22420,22646,22304,22485,23070,25226,27406,30530
8,90008,Los Angeles,38210,37798,39661,38210,36180,36564,36134,36641,39907,43364,47230
9,90009,Los Angeles,,,,,,,,,,,
10,90010,Los Angeles,51359,50288,53353,51359,47308,45786,47569,47115,61849,63112,70500
11,90011,Los Angeles,30171,30118,30198,30171,29889,30251,31684,33824,36954,40940,44616
12,90012,Los Angeles,28879,25028,26094,28879,29492,31576,32712,38786,42275,47027,49905
13,90013,Los Angeles,20271,16284,17072,20271,21120,19887,22058,22808,21676,22316,21175
14,90014,Los Angeles,16551,12015,12358,16551,17134,23642,23580,37619,35857,40641,36429
15,90015,Los Angeles,27393,25911,26579,27393,28953,29684,30463,32979,39016,43890,48743
16,90016,Los Angeles,37242,35858,36266,37242,38050,38330,41140,43443,46680,48715,49958
17,90017,Los Angeles,21030,21050,21576,21030,21009,22754,25143,28638,31423,35605,36870
18,90018,Los Angeles,32447,35126,35178,32447,32104,33864,35696,37341,41768,45984,49644
19,90019,Los Angeles,42043,40727,41261,42043,43244,46571,47518,50671,52625,56389,58313
20,90020,Los Angeles,38510,39103,38575,38510,37121,38849,40353,42407,46504,49068,50207
21,90021,Los Angeles,13415,13576,13504,13415,12748,12813,12370,12864,15149,21635,21625
22,90022,Los Angeles,38925,37262,37453,38925,39051,37916,40650,41276,43366,46051,51183
23,90023,Los Angeles,33849,33340,33875,33849,37082,35736,37472,40225,41308,42972,45991
24,90024,Los Angeles,54373,67151,61868,54373,59125,57202,57210,59418,63306,65855,63344
25,90025,Los Angeles,73478,71947,72625,73478,71278,71183,72653,78713,83655,87280,97791
26,90026,Los Angeles,44327,45560,44901,44327,46435,47993,51568,54342,60820,65269,67435
27,90027,Los Angeles,47993,47980,47210,47993,50316,51595,52922,58344,64091,66947,71651
28,90028,Los Angeles,30953,31415,30393,30953,31742,33582,35729,40068,43998,45499,50253
29,90029,Los Angeles,36979,36281,35502,36979,35253,33912,35132,37379,39562,41998,45004
30,90030,Los Angeles,,,,,,,,,,,
31,90031,Los Angeles,34655,34597,33019,34655,34656,34994,36801,41126,44343,48479,51076
32,90032,Los Angeles,46508,44759,46695,46508,45208,45457,45218,47370,50989,57225,59723
33,90033,Los Angeles,28005,29524,28773,28005,27190,27622,29499,31683,35548,38266,43646
34,90034,Los Angeles,56946,57577,56930,56946,56743,58004,60965,65572,71295,75714,80773
35,90035,Los Angeles,75863,70273,73161,75863,75327,73794,74667,76677,79534,89337,99367
36,90036,Los Angeles,71589,72981,72264,71589,71049,69894,71917,74279,80998,80539,84315
37,90037,Los Angeles,26796,28377,27072,26796,26638,27179,27129,31045,33856,35424,37945
38,90038,Los Angeles,35144,34723,35700,35144,33850,33800,35739,36996,39984,47116,48786
39,90039,Los Angeles,64080,64533,64073,64080,67170,70560,77361,81394,86031,90538,88104
40,90040,Los Angeles,47758,48610,49860,47758,44531,44964,41897,43585,46532,47120,54567
41,90041,Los Angeles,63770,62700,64820,63770,64545,63358,68457,73250,80547,85971,90461
