,zipcode,state,county,city_neighborhood,year,affluency,median_income
0,90001,CA,Los Angeles County,Los Angeles,2010,yes,35097
1,90002,CA,Los Angeles County,Los Angeles,2010,yes,31258
2,90003,CA,Los Angeles County,Los Angeles,2010,yes,29686
3,90004,CA,Los Angeles County,Los Angeles,2010,yes,37976
4,90005,CA,Los Angeles County,Los Angeles,2010,yes,31893
5,90006,CA,Los Angeles County,Los Angeles,2010,yes,30961
6,90007,CA,Los Angeles County,Los Angeles,2010,yes,22420
7,90008,CA,Los Angeles County,Los Angeles,2010,yes,38210
8,90009,CA,Los Angeles County,Los Angeles,2010,No,
9,90010,CA,Los Angeles County,Los Angeles,2010,yes,51359
10,90011,CA,Los Angeles County,Los Angeles,2010,yes,30171
11,90012,CA,Los Angeles County,Los Angeles,2010,yes,28879
12,90013,CA,Los Angeles County,Los Angeles,2010,yes,20271
13,90014,CA,Los Angeles County,Los Angeles,2010,yes,16551
14,90015,CA,Los Angeles County,Los Angeles,2010,yes,27393
15,90016,CA,Los Angeles County,Los Angeles,2010,yes,37242
16,90017,CA,Los Angeles County,Los Angeles,2010,yes,21030
17,90018,CA,Los Angeles County,Los Angeles,2010,yes,32447
18,90019,CA,Los Angeles County,Los Angeles,2010,yes,42043
19,90020,CA,Los Angeles County,Los Angeles,2010,yes,38510
20,90021,CA,Los Angeles County,Los Angeles,2010,yes,13415
21,90022,CA,Los Angeles County,Los Angeles,2010,yes,38925
22,90023,CA,Los Angeles County,Los Angeles,2010,yes,33849
23,90024,CA,Los Angeles County,Los Angeles,2010,yes,54373
24,90025,CA,Los Angeles County,Los Angeles,2010,yes,73478
25,90026,CA,Los Angeles County,Los Angeles,2010,yes,44327
26,90027,CA,Los Angeles County,Los Angeles,2010,yes,47993
27,90028,CA,Los Angeles County,Los Angeles,2010,yes,30953
28,90029,CA,Los Angeles County,Los Angeles,2010,yes,36979
29,90030,CA,Los Angeles County,Los Angeles,2010,No,
30,90031,CA,Los Angeles County,Los Angeles,2010,yes,34655
31,90032,CA,Los Angeles County,Los Angeles,2010,yes,46508
32,90033,CA,Los Angeles County,Los Angeles,2010,yes,28005
33,90034,CA,Los Angeles County,Los Angeles,2010,yes,56946
34,90035,CA,Los Angeles County,Los Angeles,2010,yes,75863
35,90036,CA,Los Angeles County,Los Angeles,2010,yes,71589
36,90037,CA,Los Angeles County,Los Angeles,2010,yes,26796
37,90038,CA,Los Angeles County,Los Angeles,2010,yes,35144
38,90039,CA,Los Angeles County,Los Angeles,2010,yes,64080
39,90040,CA,Los Angeles County,Los Angeles,2010,yes,47758
40,90041,CA,Los Angeles County,Los Angeles,2010,yes,63770
41,90042,CA,Los Angeles County,Los Angeles,2010,yes,50996
42,90043,CA,Los Angeles County,Los Angeles,2010,yes,40658
43,90044,CA,Los Angeles County,Los Angeles,2010,yes,29870
44,90045,CA,Los Angeles County,Los Angeles,2010,yes,77893
45,90046,CA,Los Angeles County,Los Angeles,2010,yes,52641
46,90047,CA,Los Angeles County,Los Angeles,2010,yes,41842
47,90048,CA,Los Angeles County,Los Angeles,2010,yes,72701
48,90049,CA,Los Angeles County,Los Angeles,2010,yes,110854
49,90050,CA,Los Angeles County,Los Angeles,2010,No,
50,90051,CA,Los Angeles County,Los Angeles,2010,No,
51,90052,CA,Los Angeles County,Los Angeles,2010,No,
52,90053,CA,Los Angeles County,Los Angeles,2010,No,
53,90054,CA,Los Angeles County,Los Angeles,2010,No,
54,90055,CA,Los Angeles County,Los Angeles,2010,No,
55,90056,CA,Los Angeles County,Los Angeles,2010,yes,86858
56,90057,CA,Los Angeles County,Los Angeles,2010,yes,28035
57,90058,CA,Los Angeles County,Los Angeles,2010,yes,16750
58,90059,CA,Los Angeles County,Los Angeles,2010,yes,33962
59,90060,CA,Los Angeles County,Los Angeles,2010,No,
60,90061,CA,Los Angeles County,Los Angeles,2010,yes,33476
61,90062,CA,Los Angeles County,Los Angeles,2010,yes,33192
62,90063,CA,Los Angeles County,Los Angeles,2010,yes,38441
63,90064,CA,Los Angeles County,Los Angeles,2010,yes,84579
64,90065,CA,Los Angeles County,Los Angeles,2010,yes,53635
65,90066,CA,Los Angeles County,Los Angeles,2010,yes,66744
66,90067,CA,Los Angeles County,Los Angeles,2010,yes,90972
67,90068,CA,Los Angeles County,Los Angeles,2010,yes,67500
68,90069,CA,Los Angeles County,West Hollywood,2010,yes,75451
69,90070,CA,Los Angeles County,Los Angeles,2010,No,
70,90071,CA,Los Angeles County,Los Angeles,2010,yes,
71,90072,CA,Los Angeles County,Los Angeles,2010,No,
72,90073,CA,Los Angeles County,Los Angeles,2010,No,
