year,polygon,water_area,vegetation_trees_area,vegetation_grass_area,turf_area,impervious_area,soil_area,total_area,,,,,,,,,,,,,,,
2020,90094,0.017204,0.273683,0.09546,0.00302,0.549597,0.052147,0.991112,,,,,,,,,,,,,,,
2018,90094,0.029858,0.125428,0.127299,0.000186,0.681533,0.026807,0.991112,,,,,,,,,,,,,,,
2016,90094,0.004091,0.194343,0.05304,0.003507,0.667049,0.069081,0.991112,,,,,,,,,,,,,,,
2014,90094,0.01151,0.169882,0.086363,0.003223,0.650831,0.069304,0.991112,,,,,,,,,,,,,,,
2012,90094,0.228586,0.120562,0.093949,0.001592,0.512258,0.034165,0.991112,,,,,,,,,,,,,,,
2010,90094,0.000202,0.226089,0.175345,0.002593,0.331004,0.255878,0.991112,,,,,,,,,,,,,,,
2020,90274,0.129164,9.190422,2.307424,0.03331,6.48435,1.385353,19.530023,,,,,,,,,,,,,,,
2018,90274,0.134713,6.272792,3.516381,0.003173,8.908092,0.694871,19.530023,,,,,,,,,,,,,,,
2016,90274,0.159027,8.330212,1.153489,0.053917,8.451661,1.381716,19.530023,,,,,,,,,,,,,,,
2014,90274,0.145519,7.587665,2.397739,0.018111,7.507534,1.873454,19.530023,,,,,,,,,,,,,,,
2012,90274,1.508911,6.179797,3.251481,0.010358,8.240931,0.338544,19.530023,,,,,,,,,,,,,,,
2010,90274,0.064145,4.82207,5.055504,0.002134,7.506212,2.079957,19.530023,,,,,,,,,,,,,,,
2020,90272,0.058663,14.078731,3.164046,0.596361,7.510138,0.78899,26.19693,,,,,,,,,,,,,,,
2018,90272,0.117775,15.828925,2.083735,0.00298,7.607155,0.55636,26.19693,,,,,,,,,,,,,,,
2016,90272,0.091644,11.202896,2.189066,0.076736,11.878887,0.757701,26.19693,,,,,,,,,,,,,,,
2014,90272,0.166419,13.902892,2.410906,0.091002,8.680643,0.945068,26.19693,,,,,,,,,,,,,,,
2012,90272,1.419284,14.26292,2.334782,0.013829,7.908168,0.257946,26.19693,,,,,,,,,,,,,,,
2010,90272,0.049173,2.945398,9.671405,0.00608,8.975535,4.549339,26.19693,,,,,,,,,,,,,,,
2020,90077,0.099818,7.597995,0.916521,0.023268,3.554584,0.620593,12.812778,,,,,,,,,,,,,,,
2018,90077,0.067812,6.09435,1.684291,0.002051,4.645811,0.318463,12.812778,,,,,,,,,,,,,,,
2016,90077,0.048266,7.142436,0.429858,0.024948,4.482006,0.685265,12.812778,,,,,,,,,,,,,,,
2014,90077,0.111163,4.983382,1.707645,0.033391,5.640553,0.336644,12.812778,,,,,,,,,,,,,,,
2012,90077,0.495718,6.863575,1.372588,0.005007,3.880147,0.195744,12.812778,,,,,,,,,,,,,,,
2010,90077,0.040686,2.036547,2.815826,0.011391,4.185345,3.722983,12.812778,,,,,,,,,,,,,,,
2020,90013,0.000211,0.008248,0.002983,0.00065,0.094217,0.002607,0.108915,,,,,,,,,,,,,,,
2018,90013,0.007779,0.003601,0.002982,0.000025,0.094494,0.000034,0.108915,,,,,,,,,,,,,,,
2016,90013,0.000204,0.003871,0.001232,0.006368,0.096059,0.00118,0.108915,,,,,,,,,,,,,,,
2014,90013,0.00857,0.003946,0.002187,0.000047,0.09361,0.000555,0.108915,,,,,,,,,,,,,,,
2012,90013,0.032558,0.001612,0.003159,0.000003,0.071407,0.000176,0.108915,,,,,,,,,,,,,,,
2010,90013,0.000036,0.003389,0.004871,0.000018,0.082113,0.018487,0.108915,,,,,,,,,,,,,,,
2020,90210,0.241588,10.599006,1.662417,0.042909,7.408468,1.17065,21.125039,,,,,,,,,,,,,,,
