id,state,county,zipcode,affluency,city_neighborhood,year,median_income
1,,,90001,yes,,,0
2,,,90002,yes,,,0
3,,,90003,yes,,,0
4,,,90004,yes,,,0
5,,,90005,yes,,,0
6,,,90006,yes,,,0
7,,,90007,yes,,,0
8,,,90008,yes,,,0
9,,,90009,No,,,0
10,,,90010,yes,,,0
11,,,90011,yes,,,0
12,,,90012,yes,,,0
13,,,90013,yes,,,0
14,,,90014,yes,,,0
15,,,90015,yes,,,0
16,,,90016,yes,,,0
17,,,90017,yes,,,0
18,,,90018,yes,,,0
19,,,90019,yes,,,0
20,,,90020,yes,,,0
21,,,90021,yes,,,0
22,,,90022,yes,,,0
23,,,90023,yes,,,0
24,,,90024,yes,,,0
25,,,90025,yes,,,0
26,,,90026,yes,,,0
27,,,90027,yes,,,0
28,,,90028,yes,,,0
29,,,90029,yes,,,0
30,,,90030,No,,,0
31,,,90031,yes,,,0
32,,,90032,yes,,,0
33,,,90033,yes,,,0
34,,,90034,yes,,,0
35,,,90035,yes,,,0
36,,,90036,yes,,,0
37,,,90037,yes,,,0
38,,,90038,yes,,,0
39,,,90039,yes,,,0
40,,,90040,yes,,,0
41,,,90041,yes,,,0
42,,,90042,yes,,,0
43,,,90043,yes,,,0
44,,,90044,yes,,,0
45,,,90045,yes,,,0
46,,,90046,yes,,,0
47,,,90047,yes,,,0
48,,,90048,yes,,,0
49,,,90049,yes,,,0
50,,,90050,No,,,0
51,,,90051,No,,,0
52,,,90052,No,,,0
53,,,90053,No,,,0
54,,,90054,No,,,0
55,,,90055,No,,,0
56,,,90056,yes,,,0
57,,,90057,yes,,,0
58,,,90058,yes,,,0
59,,,90059,yes,,,0
60,,,90060,No,,,0
61,,,90061,yes,,,0
62,,,90062,yes,,,0
63,,,90063,yes,,,0
64,,,90064,yes,,,0
65,,,90065,yes,,,0
66,,,90066,yes,,,0
67,,,90067,yes,,,0
68,,,90068,yes,,,0
69,,,90069,yes,,,0
70,,,90070,No,,,0
71,,,90071,yes,,,0
72,,,90072,No,,,0
73,,,90073,No,,,0
74,,,90074,No,,,0
75,,,90075,No,,,0
76,,,90076,No,,,0
77,,,90077,yes,,,0
78,,,90078,No,,,0
79,,,90079,No,,,0
80,,,90080,No,,,0
81,,,90081,No,,,0
82,,,90082,No,,,0
83,,,90083,No,,,0
84,,,90084,No,,,0
85,,,90086,No,,,0
86,,,90087,No,,,0
87,,,90088,No,,,0
88,,,90089,No,,,0
89,,,90090,No,,,0
90,,,90091,No,,,0
91,,,90093,No,,,0
92,,,90094,yes,,,0
93,,,90095,No,,,0
94,,,90096,No,,,0
95,,,90097,No,,,0
96,,,90099,No,,,0
97,,,90101,No,,,0
98,,,90102,No,,,0
99,,,90103,No,,,0
100,,,90174,No,,,0
101,,,90185,No,,,0
102,,,90189,No,,,0
103,,,90201,yes,,,0
104,,,90202,No,,,0
105,,,90209,No,,,0
106,,,90210,yes,,,0
107,,,90211,yes,,,0
108,,,90212,yes,,,0
109,,,90213,No,,,0
110,,,90220,yes,,,0
111,,,90221,yes,,,0
112,,,90222,yes,,,0
113,,,90223,No,,,0
114,,,90224,No,,,0
115,,,90230,yes,,,0
116,,,90231,No,,,0
117,,,90232,yes,,,0
118,,,90233,No,,,0
119,,,90239,No,,,0
120,,,90240,yes,,,0
121,,,90241,yes,,,0
122,,,90242,yes,,,0
123,,,90245,yes,,,0
124,,,90247,yes,,,0
125,,,90248,yes,,,0
126,,,90249,yes,,,0
127,,,90250,yes,,,0
128,,,90251,No,,,0
129,,,90254,yes,,,0
130,,,90255,yes,,,0
131,,,90260,yes,,,0
132,,,90261,No,,,0
133,,,90262,yes,,,0
134,,,90263,No,,,0
135,,,90264,No,,,0
136,,,90265,yes,,,0
137,,,90266,yes,,,0
138,,,90267,No,,,0
139,,,90270,yes,,,0
140,,,90272,yes,,,0
141,,,90274,yes,,,0
142,,,90275,yes,,,0
143,,,90277,yes,,,0
144,,,90278,yes,,,0
145,,,90280,yes,,,0
146,,,90290,yes,,,0
147,,,90291,yes,,,0
148,,,90292,yes,,,0
149,,,90293,yes,,,0
150,,,90294,No,,,0
151,,,90295,No,,,0
152,,,90296,No,,,0
153,,,90301,yes,,,0
154,,,90302,yes,,,0
155,,,90303,yes,,,0
156,,,90304,yes,,,0
157,,,90305,yes,,,0
158,,,90306,No,,,0
159,,,90307,No,,,0
160,,,90308,No,,,0
161,,,90309,No,,,0
162,,,90310,No,,,0
163,,,90311,No,,,0
164,,,90312,No,,,0
165,,,90313,No,,,0
166,,,90397,No,,,0
167,,,90398,No,,,0
168,,,90401,yes,,,0
169,,,90402,yes,,,0
170,,,90403,yes,,,0
171,,,90404,yes,,,0
172,,,90405,yes,,,0
173,,,90406,No,,,0
174,,,90407,No,,,0
175,,,90408,No,,,0
176,,,90409,No,,,0
177,,,90410,No,,,0
178,,,90411,No,,,0
179,,,90501,yes,,,0
180,,,90502,yes,,,0
181,,,90503,yes,,,0
182,,,90504,yes,,,0
183,,,90505,yes,,,0
184,,,90506,No,,,0
185,,,90507,No,,,0
186,,,90508,No,,,0
187,,,90509,No,,,0
188,,,90510,No,,,0
189,,,90601,yes,,,0
190,,,90602,yes,,,0
191,,,90603,yes,,,0
192,,,90604,yes,,,0
193,,,90605,yes,,,0
194,,,90606,yes,,,0
195,,,90607,No,,,0
196,,,90608,No,,,0
197,,,90609,No,,,0
198,,,90610,No,,,0
199,,,90612,No,,,0
200,,,90631,yes,,,0
201,,,90637,No,,,0
202,,,90638,yes,,,0
203,,,90639,No,,,0
204,,,90640,yes,,,0
205,,,90650,yes,,,0
206,,,90651,No,,,0
207,,,90652,No,,,0
208,,,90659,No,,,0
209,,,90660,yes,,,0
210,,,90661,No,,,0
211,,,90662,No,,,0
212,,,90665,No,,,0
213,,,90670,yes,,,0
214,,,90671,No,,,0
215,,,90701,yes,,,0
216,,,90702,No,,,0
217,,,90703,yes,,,0
218,,,90704,yes,,,0
219,,,90706,yes,,,0
220,,,90707,No,,,0
221,,,90710,yes,,,0
222,,,90711,No,,,0
223,,,90712,yes,,,0
224,,,90713,yes,,,0
225,,,90714,No,,,0
226,,,90715,yes,,,0
227,,,90716,yes,,,0
228,,,90717,yes,,,0
229,,,90723,yes,,,0
230,,,90731,yes,,,0
231,,,90732,yes,,,0
232,,,90733,No,,,0
233,,,90734,No,,,0
234,,,90744,yes,,,0
235,,,90745,yes,,,0
236,,,90746,yes,,,0
237,,,90747,No,,,0
238,,,90748,No,,,0
239,,,90749,No,,,0
240,,,90755,yes,,,0
241,,,90801,No,,,0
242,,,90802,yes,,,0
243,,,90803,yes,,,0
244,,,90804,yes,,,0
245,,,90805,yes,,,0
246,,,90806,yes,,,0
247,,,90807,yes,,,0
248,,,90808,yes,,,0
249,,,90809,No,,,0
250,,,90810,yes,,,0
251,,,90813,yes,,,0
252,,,90814,yes,,,0
253,,,90815,yes,,,0
254,,,90822,No,,,0
255,,,90831,No,,,0
256,,,90832,No,,,0
257,,,90833,No,,,0
258,,,90834,No,,,0
259,,,90835,No,,,0
260,,,90840,No,,,0
261,,,90842,No,,,0
262,,,90844,No,,,0
263,,,90845,No,,,0
264,,,90846,No,,,0
265,,,90847,No,,,0
266,,,90848,No,,,0
267,,,90853,No,,,0
268,,,90888,No,,,0
269,,,90895,No,,,0
270,,,90899,No,,,0
271,,,91001,yes,,,0
272,,,91003,No,,,0
273,,,91006,yes,,,0
274,,,91007,yes,,,0
275,,,91008,yes,,,0
276,,,91009,No,,,0
277,,,91010,yes,,,0
278,,,91011,yes,,,0
279,,,91012,No,,,0
280,,,91016,yes,,,0
281,,,91017,No,,,0
282,,,91020,yes,,,0
283,,,91021,No,,,0
284,,,91023,No,,,0
285,,,91024,yes,,,0
286,,,91025,No,,,0
287,,,91030,yes,,,0
288,,,91031,No,,,0
289,,,91040,yes,,,0
290,,,91041,No,,,0
291,,,91042,yes,,,0
292,,,91043,No,,,0
293,,,91046,yes,,,0
294,,,91066,No,,,0
295,,,91077,No,,,0
296,,,91101,yes,,,0
297,,,91102,No,,,0
298,,,91103,yes,,,0
299,,,91104,yes,,,0
300,,,91105,yes,,,0
301,,,91106,yes,,,0
302,,,91107,yes,,,0
303,,,91108,yes,,,0
304,,,91109,No,,,0
305,,,91110,No,,,0
306,,,91114,No,,,0
